Distance,Speed,Angle,Relative_Speed,Score_AEB,Score_Evitement,Class
77.84769275848441,81.2726370425571,2.373476856959954,18.740125433629174,-1.0,-1.0,3
45.010087095701124,24.204361111251405,11.363298180720292,27.398660772660143,-1.0,-1.0,3
86.14259615131549,81.64833525292623,-6.031711736172372,-9.740492547695144,-1.0,-1.0,3
70.34206684781766,80.99565030782436,-12.109697878069838,22.313527620127743,-1.0,-1.0,3
11.229380092989654,61.59698477234514,-4.9234094279282985,26.91244938322633,-1.0,-1.0,3
97.61099046040208,115.47670112446521,0.9012671485220665,9.71458052359688,-1.0,-1.0,3
76.59169079505459,39.88431229925534,-23.02946623371742,-29.279952046148974,-1.0,1.0,2
79.03430191714148,73.34105163671563,3.1379500464745362,-12.47793955857728,-1.0,-1.0,3
14.555136002203495,24.250459766712698,25.81608750655481,-14.003883261179961,1.0,1.0,1
46.13782191376558,52.52570856937027,28.986491102503713,-18.258022292673335,1.0,1.0,1
38.33820637479296,39.16752475516127,2.2138351557135323,18.47090719137183,-1.0,-1.0,3
92.82296890716297,86.5478328609071,24.65756946627524,-3.074668023684783,-1.0,-1.0,3
65.09878176790512,93.885181255955,6.8427098691727934,5.395852256021939,-1.0,-1.0,3
82.63063810054133,104.52094352897001,-28.393193827936432,12.20114205064592,-1.0,-1.0,3
45.45459148507845,37.29961334332222,-1.0209805345703984,0.9076968642288463,-1.0,-1.0,3
24.269394734908136,81.34508066054396,-1.527997830337597,14.209157042324442,-1.0,-1.0,3
56.34930912755181,65.72950464721232,10.355171135875743,-21.50241846961317,1.0,1.0,1
8.254091098209182,68.88889440340498,-16.6356599661176,-18.73628201837021,1.0,1.0,1
83.10785485527305,34.7324599027006,17.026320108260997,-28.995489547008777,-1.0,1.0,2
63.90311111396235,87.93120649673291,-12.141296704346367,20.645737816754988,-1.0,-1.0,3
76.29259852836664,78.55060430462932,-7.057853579492878,1.9866744792581912,-1.0,-1.0,3
36.7435448767271,109.72431608349686,-13.902465018442875,-23.571142385726084,1.0,1.0,1
97.12840639070052,76.0495723136393,-17.62290291072386,28.523624461555976,-1.0,-1.0,3
89.52586988957538,86.37971228574226,28.89213019512715,26.88855184595839,-1.0,-1.0,3
78.28158271322866,47.92303063897381,18.050129081358776,10.992915459424808,-1.0,-1.0,3
21.074593369492824,30.67050248291602,-5.314445423840212,7.869544381005099,-1.0,-1.0,3
47.73865836524935,114.17035506167981,10.876312305006877,12.415803549313615,-1.0,1.0,2
6.29276904714842,76.36697311498878,-20.40368848145747,-0.9779494268029794,1.0,1.0,1
17.120370222619687,62.625258600953316,-23.60034864394069,19.487060394613714,-1.0,-1.0,3
68.93879741776055,119.84003224108406,-22.402797975456878,17.686584646457447,-1.0,-1.0,3
74.98669127896608,39.135302015374776,-13.367749759028388,-27.15332631455709,-1.0,1.0,2
96.81595377855258,87.66417599801844,16.623782390318077,31.27735088894361,-1.0,-1.0,3
